id|name|age|country|value
3267|Luis Antonio Valencia Mosquera|38|Ecuador|-
20177|Eric-Sylvain Bilal Abidal|44|France|-
20173|Ji-Sung Park|42|Korea, South|-
4751|Michael Carrick|42|England|-
20008|Patrice Evra|42|France|-
20172|Nemanja Vidić|42|Serbia|-
20171|Rio Ferdinand|45|England|-
15036|Edwin van der Sar|53|Netherlands|-
18239|Fábio Pereira da Silva|33|Brazil|€800k
8281|Luís Carlos Almeida da Cunha|37|Portugal|€400k
15666|Paul Scholes|49|England|-
20169|Seydou Kéita|43|Mali|-
24234|Juan Domínguez Lamas|33|Spain|-
26107|Alberto Lopo García|43|Spain|-
26175|Saúl Fernández García|38|Spain|-
26064|Antonio Tomás González|38|Spain|-
26733|Yves Hadley Desmarets|44|Haiti|-
26209|Manuel Pablo García Díaz|47|Spain|-
26029|Daniel Aranzubia Aguado|44|Spain|-
23800|Laureano Sanabria Ruiz|38|Spain|-
15602|Juan Carlos Valerón Santana|48|Spain|-
4913|Bojan Krkíc Pérez|33|Spain|-
26732|Knut Olav Rindarøy|38|Norway|-
26487|Pablo Álvarez Nuñez|43|Spain|-
5208|Thiago Alcântara do Nascimento|32|Spain|€12.00m
25919|Gabriel Alejandro Milito|43|Argentina|-
26613|Maxwell Scherrer Cabelino Andrade|42|Brazil|-
26703|André de Castro Pereira|35|Portugal|€200k
18925|Ignacio Cases Mora|35|Spain|-
6610|Iván Cuéllar Sacristán|39|Spain|€100k
26702|Ignacio Javier Gómez Novo|44|Spain|-
26244|Rafael Sastre Reus|48|Spain|-
26661|Iván Hernández Soto|43|Spain|-
24686|Roberto Canella Suárez|35|Spain|-
26229|Carmelo José González Jiménez|40|Spain|-
26227|Mate Bilić|43|Croatia|-
25943|Luís Fabiano Clemente|43|Brazil|-
26683|Abdoulay Konko|39|France|-
26015|Renato Dirnei Florencio|44|Brazil|-
26753|Javier Varas Herrera|41|Spain|-
25960|Frédéric Oumar Kanouté|46|Mali|-
7456|Diego Perotti|35|Argentina|-
5248|José Martín Cáceres Silva|36|Uruguay|€250k
6675|Antonio Manuel Luna Rodríguez|32|Spain|€400k
24683|Diego Ángel Capel Trinidad|35|Spain|-
26752|Mouhamadou Dabo|37|France|-
26682|Alain Didier Zokora-Déguy|43|Cote d'Ivoire|-
20542|Álvaro Negredo Sánchez|38|Spain|€1.00m
26624|Jeffren Isaac Suárez Bermúdez|35|Venezuela|€150k
26060|Diego Rivas Gutiérrez|43|Spain|-
8724|Carlos Martínez Díez|37|Spain|-
26109|Raúl Tamudo Montero|46|Spain|-
26449|Mikel Aranburu Eizagirre|44|Spain|-
26701|Vadim Demidov|37|Norway|-
26700|Diego Ifrán Sala|36|Uruguay|-
10805|Ricardo Alberto Silveira de Carvalho|45|Portugal|-
3496|Mesut Özil|35|Germany|-
26699|Emmanuel Adebayor|39|Togo|-
20215|Álvaro Arbeloa Coca|40|Spain|-
26647|Henok Goitom|39|Eritrea|-
26651|Hernán Darío Bernardello|37|Argentina|-
26766|Fabián Andrés Vargas Rivera|43|Colombia|-
26434|Santiago Wilmer Acasiete Ariadela|46|Peru|-
26440|Juan Manuel Ortiz Palazón|41|Spain|-
26439|Carlos García Badías|39|Spain|-
6922|Míchel Macedo Rocha Machado|33|Brazil|€350k
26722|Pablo César Pintos Cabral|36|Uruguay|-
26657|Pedro Ríos Maestre|42|Spain|-
26685|Nicolás Ladislao Fedor Flores|38|Venezuela|€100k
26144|Francisco Javier Casquero Paredes|47|Spain|-
26436|José Manuel Jiménez Ortiz|41|Spain|-
24507|Manuel del Moral Fernández|39|Spain|-
